순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
665,증산로,일반도로,국지도로,중로2류,폭15-20m,구도
666,지봉로,일반도로,국지도로,중로2류,폭15-20m,구도
667,진관1로,일반도로,국지도로,중로1류,폭20-25m,구도
668,진관2로,일반도로,국지도로,중로2류,폭15-20m,구도
669,진관3로,일반도로,국지도로,중로2류,폭15-20m,구도
670,진관내~진관외선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
671,진흥로,일반도로,국지도로,중로2류,폭15-20m,구도
672,창경궁로,일반도로,국지도로,중로2류,폭15-20m,구도
673,창신~답십리선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
674,창포원로,,국지도로,대로3류,폭25-30m,구도
675,천왕로,일반도로,국지도로,중로2류,폭15-20m,구도
676,천호대로,일반도로,국지도로,대로3류,폭25-30m,구도
677,천호대로213길,일반도로,국지도로,중로1류,폭20-25m,구도
678,천호대로47길,일반도로,국지도로,중로2류,폭15-20m,구도
679,청계산로7길,일반도로,국지도로,중로2류,폭15-20m,구도
680,청계천로,일반도로,국지도로,대로3류,폭25-30m,구도
681,청암~원효선,일반도로,보조간선도로,중로1류,폭20-25m,특별시도
682,청와대로,일반도로,국지도로,중로2류,폭15-20m,구도
683,청파로,일반도로,국지도로,중로1류,폭20-25m,구도
684,청파로47나길,일반도로,국지도로,중로2류,폭15-20m,구도
685,초안산로,일반도로,국지도로,중로2류,폭15-20m,구도
686,충무~낙원선,일반도로,보조간선도로,중로2류,폭15-20m,특별시도
