순번,road_address,도로종류,도로기능,도로규모,도로폭,시도구도구분
358,상암산로,일반도로,국지도로,중로1류,폭20-25m,구도
359,상암선,일반도로,보조간선도로,광로3류,폭40-50m,특별시도
360,상원1길,일반도로,국지도로,중로1류,폭20-25m,구도
361,상일~고덕선,일반도로,보조간선도로,대로2류,폭30-35m,특별시도
362,상일로,일반도로,국지도로,중로2류,폭15-20m,구도
363,상일로10길,일반도로,국지도로,중로1류,폭20-25m,구도
364,상일로12길,일반도로,국지도로,중로1류,폭20-25m,구도
365,상일로6길,일반도로,국지도로,중로2류,폭15-20m,구도
366,새말로,일반도로,국지도로,중로1류,폭20-25m,구도
367,새말로16길,일반도로,국지도로,중로2류,폭15-20m,구도
368,새말로20길,일반도로,국지도로,중로2류,폭15-20m,구도
369,새문안로,일반도로,국지도로,중로1류,폭20-25m,구도
370,새문안로2길,일반도로,국지도로,중로1류,폭20-25m,구도
371,서강로,일반도로,국지도로,중로2류,폭15-20m,구도
372,서린~상일선,일반도로,주간선도로,광로3류,폭40-50m,특별시도
373,서부간선,자동차전용도로,도시고속도로,대로3류,폭25-30m,특별시도
374,서빙고로,일반도로,국지도로,중로1류,폭20-25m,구도
375,서빙고로17길,일반도로,국지도로,중로1류,폭20-25m,구도
376,서빙고로91길,일반도로,국지도로,대로3류,폭25-30m,구도
377,서소문로,일반도로,국지도로,중로2류,폭15-20m,구도
378,서오릉~진관외선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
379,서오릉로,일반도로,국지도로,중로2류,폭15-20m,구도
380,서운로21길,일반도로,국지도로,중로2류,폭15-20m,구도
381,서울양양고속도로,일반도로,기타,대로2류,폭30-35m,고속국도
382,서초~개포선,일반도로,보조간선도로,대로1류,폭35-40m,특별시도
383,서초~청담선,일반도로,보조간선도로,대로3류,폭25-30m,특별시도
384,서초대로,일반도로,국지도로,중로1류,폭20-25m,구도
385,서초중앙로,일반도로,국지도로,중로2류,폭15-20m,구도
386,서초중앙로28길,일반도로,국지도로,중로2류,폭15-20m,구도
